SEQN,RIDAGEYR,RIAGENDR
110018,20,Female
110019,11,Male
110020,16,Female
110021,25,Female
110022,16,Female
110023,62,Female
110024,9,Male
110025,0,Male
110026,6,Male
110027,22,Female
110028,23,Female
110029,42,Male
110030,27,Female
110031,5,Female
110032,80,Female
110033,61,Female
110034,35,Female
110035,27,Female
110036,50,Female
110037,69,Male
110038,58,Female
110039,0,Male
110040,28,Male
110041,44,Female
110042,62,Female
110043,37,Male
110044,15,Female
110045,69,Female
110046,0,Male
110047,2,Female
110048,14,Female
110049,14,Female
110050,71,Female
110051,0,Male
110052,42,Male
110053,2,Male
110054,44,Male
110055,70,Male
110056,63,Male
110057,69,Male
110058,5,Female
110059,38,Male
110060,50,Female
110061,61,Male
110062,40,Female
110063,18,Female
110064,65,Male
110065,60,Male
110066,14,Male
110067,25,Male
110068,77,Female
110069,10,Female
110070,41,Female
110071,59,Male
110072,15,Female
110073,45,Female
110074,41,Male
110075,2,Male
110076,28,Male
110077,6,Female
110078,9,Male
110079,54,Female
110080,9,Male
110081,65,Male
110082,78,Female
110083,21,Female
110084,2,Male
110085,60,Male
110086,7,Male
110087,62,Male
110088,30,Male
110089,38,Male
110090,56,Male
110091,39,Female
110092,80,Male
110093,30,Female
110094,0,Female
110095,14,Male
110096,66,Male
110097,9,Female
110098,21,Male
110099,11,Female
110100,80,Female
110101,14,Male
110102,45,Female
110103,80,Male
110104,13,Female
110105,25,Female
110106,7,Male
110107,72,Female
110108,4,Female
110109,17,Female
110110,3,Female
110111,11,Female
110112,36,Female
110113,9,Male
110114,44,Female
110115,4,Female
110116,35,Female
110117,24,Male
110118,37,Male
110119,14,Male
110120,34,Female
110121,33,Female
110122,13,Female
110123,28,Female
110124,55,Female
110125,60,Female
110126,1,Female
110127,48,Female
110128,48,Male
110129,52,Male
110130,54,Female
110131,69,Male
110132,10,Female
110133,13,Male
110134,49,Male
110135,40,Male
110136,38,Male
110137,52,Male
110138,1,Female
110139,41,Male
110140,7,Male
110141,7,Male
110142,61,Male
110143,12,Male
110144,50,Female
110145,13,Female
110146,16,Male
110147,60,Female
110148,14,Male
110149,1,Male
110150,2,Male
110151,63,Female
110152,3,Female
110153,70,Male
110154,14,Female
110155,22,Male
110156,1,Female
110157,51,Male
